Family,Subfamily,Genus,Species,SciName,Number,Source,Family_encode,Fam_Sample,Fam_Specie
Noctuidae,Noctuinae,Diarsia,rubi,Diarsia rubi,3017417707,UTE,58,3700,2182
Hesperiidae,Hesperiinae,Perichares,philetes,Perichares philetes,1981439612,MISSA,39,1463,597
Papilionidae,Papilioninae,Ornithoptera,rothschildi,Ornithoptera rothschildi,1319578074,USNM,64,1096,364
Geometridae,Sterrhinae,Scopula,kagiata,Scopula kagiata,A38-20140206-053,TESRI,34,4684,3138
Lycaenidae,Lycaeninae,Lycaena,phlaeas,Lycaena phlaeas,1039129434,YPM,48,1283,600
Papilionidae,Parnassiinae,Archon,apollinus,Archon apollinus,1039045838,YPM,64,1096,364
Tineidae,Myrmecozelinae,Machaeropteris,petalacma,Machaeropteris petalacma,A41-20140206-111,TESRI,82,102,85
Papilionidae,Papilioninae,Graphium,cloanthus,Graphium cloanthus,1039174971,YPM,64,1096,364
Nymphalidae,Heliconiinae,Argynnis,paphia,Argynnis paphia,1291283844,NHMUK,61,3999,1655
Erebidae,Catocalinae,Drasteria,mirifica,Drasteria mirifica,2013054534,MISSA,27,5150,2706
Nymphalidae,Satyrinae,Eteona,tisiphone,Eteona tisiphone,1039115615,YPM,61,3999,1655
Papilionidae,Papilioninae,Papilio,troilus,Papilio troilus,2432245444,CSU,64,1096,364
Geometridae,Ennominae,Pareumelea,hortensiata,Pareumelea hortensiata,1836101247,NHMUK,34,4684,3138
Nymphalidae,Biblidinae,Perisama,cabirnia,Perisama cabirnia,1039037469,YPM,61,3999,1655
Geometridae,Geometrinae,Geometra,papilionaria,Geometra papilionaria,1825936134,NHMUK,34,4684,3138
Nymphalidae,Biblidinae,Cyrestis,thyonneus,Cyrestis thyonneus,1039099540,YPM,61,3999,1655
Erebidae,Arctiinae,Tyria,jacobaeae,Tyria jacobaeae,2432255332,CSU,27,5150,2706
Pieridae,Pierinae,Pieris,resedae,Pieris resedae,1322142189,USNM,65,3082,856
Noctuidae,Noctuinae,Apamea,auranticolor,Apamea auranticolor,2467784168,CSU,58,3700,2182
Pieridae,Pierinae,Colotis,daira,Colotis daira,1039100366,YPM,65,3082,856
Pieridae,Pierinae,Leptophobia,penthica,Leptophobia penthica,1039071629,YPM,65,3082,856
Lecithoceridae,Lecithocerinae,Spatulignatha,olaxana,Spatulignatha olaxana,A38-20150518-212,TESRI,45,28,11
Nymphalidae,Satyrinae,Pyronia,cecilia,Pyronia cecilia,1039132949,YPM,61,3999,1655
Erebidae,Hypeninae,Rivula,basalis,Rivula basalis,A46-20150128-125,TESRI,27,5150,2706
Tortricidae,Olethreutinae,Ecdytolopha,mana,Ecdytolopha mana,1848889103,MISSA,84,938,802
Pieridae,Pierinae,Nepheronia,thalassina,Nepheronia thalassina,1039060484,YPM,65,3082,856
Geometridae,Sterrhinae,Scopula,plantagenaria,Scopula plantagenaria,2432337281,CSU,34,4684,3138
Pieridae,Pierinae,Aporia,leucodice,Aporia leucodice,1322364891,USNM,65,3082,856
Erebidae,Calpinae,Pangrapta,adusta,Pangrapta adusta,A43-20160308-037,TESRI,27,5150,2706
Nymphalidae,Biblidinae,Cyrestis,cocles,Cyrestis cocles,1039089597,YPM,61,3999,1655
Crambidae,Spilomelinae,Pleuroptya,quadrimaculalis,Pleuroptya quadrimaculalis,A43-20160308-176,TESRI,19,1196,693
Gelechiidae,Gelechiinae,Mirificarma,mulinella,Mirificarma mulinella,1585258909,MISSA,33,410,359
Erebidae,Arctiinae,Neoarctia,brucei,Neoarctia brucei,2432247678,CSU,27,5150,2706
Geometridae,Ennominae,Sangalopsis,diasia,Sangalopsis diasia,1039151771,YPM,34,4684,3138
Noctuidae,Acronictinae,Acronicta,megacephala,Acronicta megacephala,3003624459,TAM,58,3700,2182
Nymphalidae,Limenitidinae,Euphaedra,edwardsii,Euphaedra edwardsii,1039171019,YPM,61,3999,1655
Papilionidae,Papilioninae,Parides,zacynthus,Parides zacynthus,1039041964,YPM,64,1096,364
Tortricidae,Tortricinae,Synnoma,lynosyrana,Synnoma lynosyrana,1585222431,MISSA,84,938,802
Papilionidae,Papilioninae,Papilio,valentina,Papilio valentina,2609365705,NHMUK,64,1096,364
Erebidae,Arctiinae,Amastus,morosus,Amastus morosus,1883279935,MNHN,27,5150,2706
Yponomeutidae,Yponomeutinae,Zelleria,semitincta,Zelleria semitincta,2432340149,CSU,87,29,28
Nymphalidae,Satyrinae,Hypocysta,irius,Hypocysta irius,1039119139,YPM,61,3999,1655
Pieridae,Pierinae,Colotis,eris,Colotis eris,1321632359,USNM,65,3082,856
Erebidae,Erebinae,Elygea,apta,Elygea apta,1838850258,MISSA,27,5150,2706
Noctuidae,Noctuinae,Leucania,fallaciosa,Leucania fallaciosa,1883280428,MNHN,58,3700,2182
Pieridae,Pierinae,Delias,diaphana,Delias diaphana,1320650439,USNM,65,3082,856
Geometridae,Alsophilinae,Alsophila,aescularia,Alsophila aescularia,3003609131,TAM,34,4684,3138
Erebidae,Ctenuchinae,Isanthrene,felderi,Isanthrene felderi,1838881833,MISSA,27,5150,2706
Geometridae,Larentiinae,Xanthorhoe,pontiaria,Xanthorhoe pontiaria,1320309261,USNM,34,4684,3138
Nymphalidae,Satyrinae,Bicyclus,miriam,Bicyclus miriam,1039191001,YPM,61,3999,1655
Tineidae,Nemapogoninae,Nemapogon,rileyi,Nemapogon rileyi,1585223261,MISSA,82,102,85
Geometridae,Ennominae,Crocallis,elinguaria,Crocallis elinguaria,1825837944,NHMUK,34,4684,3138
Noctuidae,Acronictinae,Acronicta,leporina,Acronicta leporina,3003614988,TAM,58,3700,2182
Noctuidae,Noctuinae,Gortyna,borelii,Gortyna borelii,1849082094,NHMUK,58,3700,2182
Erebidae,Calpinae,Eudocima,phalonia,Eudocima phalonia,1946088932,MISSA,27,5150,2706
Geometridae,Ennominae,Macaria,praesignaria,Macaria praesignaria,1319745089,USNM,34,4684,3138
Nymphalidae,Charaxinae,Memphis,pithyusa,Memphis pithyusa,1317360979,USNM,61,3999,1655
Pieridae,Coliadinae,Colias,christina,Colias christina,1039178632,YPM,65,3082,856
Noctuidae,Noctuinae,Micrathetis,triplex,Micrathetis triplex,1838848523,MISSA,58,3700,2182
Saturniidae,Hemileucinae,Automeris,naranja,Automeris naranja,1039027027,YPM,74,676,311
Euteliidae,Euteliinae,Anigraea,rubida,Anigraea rubida,V24-20190316-174,TESRI,31,97,53
Geometridae,Larentiinae,Eupithecia,inculta,Eupithecia inculta,3003736082,TAM,34,4684,3138
Pieridae,Coliadinae,Gonepteryx,burmensis,Gonepteryx burmensis,1317936446,USNM,65,3082,856
Erebidae,Boletobiinae,Eublemma,abrupta,Eublemma abrupta,A46-20160426-034,TESRI,27,5150,2706
Erebidae,Scoliopteryginae,Anomis,oedema,Anomis oedema,1990804962,MNHN,27,5150,2706
Lycaenidae,Polyommatinae,Lepidochrysops,plebeia,Lepidochrysops plebeia,1039164402,YPM,48,1283,600
Papilionidae,Papilioninae,Parides,lopiusa,Parides lopiusa,1317245060,USNM,64,1096,364
Nymphalidae,Nymphalinae,Yoma,sabina,Yoma sabina,1039091397,YPM,61,3999,1655
Nymphalidae,Charaxinae,Memphis,morvus,Memphis morvus,1322317086,USNM,61,3999,1655
Geometridae,Geometrinae,Hemistola,simplex,Hemistola simplex,A46-20150513-089,TESRI,34,4684,3138
Erebidae,Hypeninae,Hypena,triangularis,Hypena triangularis,A35-20160111-028,TESRI,27,5150,2706
Geometridae,Geometrinae,Agathia,quinaria,Agathia quinaria,1826441271,NHMUK,34,4684,3138
Crambidae,Spilomelinae,Lipararchis,tranquillalis,Lipararchis tranquillalis,V15-20140823-024,TESRI,19,1196,693
Pyralidae,Epipaschiinae,Termioptycha,longispina,Termioptycha longispina,A35-20171023-097,TESRI,71,530,347
Saturniidae,Arsenurinae,Aricia,agestis,Aricia agestis,1039073985,YPM,74,676,311
Papilionidae,Papilioninae,Papilio,troilus,Papilio troilus,1039157154,YPM,64,1096,364
Erebidae,Catocalinae,Zale,galactea,Zale galactea,2234819631,MISSA,27,5150,2706
Geometridae,Ennominae,Melanchroia,monticola,Melanchroia monticola,1322072031,USNM,34,4684,3138
Nymphalidae,Heliconiinae,Acraea,omrora,Acraea omrora,1039089409,YPM,61,3999,1655
Noctuidae,Noctuinae,Protagrotis,niveivenosa,Protagrotis niveivenosa,2268760482,MISSA,58,3700,2182
Nolidae,Chloephorinae,Earias,malagasy,Earias malagasy,1587261156,MNHN,59,318,153
Noctuidae,Acontiinae,Ozarba,micropunctata,Ozarba micropunctata,1424788317,MNHN,58,3700,2182
Geometridae,Ennominae,Melanolophia,canadaria,Melanolophia canadaria,2432370186,CSU,34,4684,3138
Lycaenidae,Polyommatinae,Lepidochrysops,guichardi,Lepidochrysops guichardi,1039174595,YPM,48,1283,600
Nymphalidae,Charaxinae,Consul,fabius,Consul fabius,1319601452,USNM,61,3999,1655
Hesperiidae,Hesperiinae,Mastor,eos,Mastor eos,2432264858,CSU,39,1463,597
Erebidae,Erebinae,Catocala,faustina,Catocala faustina,1946089338,MISSA,27,5150,2706
Noctuidae,Noctuinae,Callopistria,nigrescens,Callopistria nigrescens,A41-20180418-098,TESRI,58,3700,2182
Crambidae,Pyraustinae,Anania,extricalis,Anania extricalis,1932751705,MSU,19,1196,693
Notodontidae,Notodontinae,Hiradonta,angustipennis,Hiradonta angustipennis,A76-20190409-154,TESRI,60,741,530
Pieridae,Pierinae,Leptophobia,nephthis,Leptophobia nephthis,1320245870,USNM,65,3082,856
Nymphalidae,Charaxinae,Polyura,pyrrhus,Polyura pyrrhus,1322108709,USNM,61,3999,1655
Erebidae,Hypeninae,Hypena,crassalis,Hypena crassalis,3003629516,TAM,27,5150,2706
Noctuidae,Dyopsinae,Moma,alpium,Moma alpium,3003625216,TAM,58,3700,2182
Crambidae,Spilomelinae,Nomophila,noctuella,Nomophila noctuella,V01-20150313-009,TESRI,19,1196,693
Erebidae,Lymantriinae,Lymantria,umbrifera,Lymantria umbrifera,A32-20111123-083,TESRI,27,5150,2706
Nymphalidae,Charaxinae,Charaxes,protoclea,Charaxes protoclea,1318811210,USNM,61,3999,1655
Geometridae,Geometrinae,Lophophelma,iterans,Lophophelma iterans,onerosus,A34-20140626-069,34,4684,3138
Nymphalidae,Heliconiinae,Boloria,dia,Boloria dia,1291180311,NHMUK,61,3999,1655
Pieridae,Pierinae,Zegris,fausti,Zegris fausti,1320410687,USNM,65,3082,856
Erebidae,Arctiinae,Araeomolis,propinqua,Araeomolis propinqua,1883280053,MNHN,27,5150,2706
Lycaenidae,Theclinae,Deudorix,diocles,Deudorix diocles,1039071129,YPM,48,1283,600
Pieridae,Pierinae,Aporia,acraea,Aporia acraea,1317537937,USNM,65,3082,856
Nymphalidae,Nymphalinae,Telenassa,teletusa,Telenassa teletusa,2301952179,YPM,61,3999,1655
Geometridae,Larentiinae,Acolutha,pulchella,Acolutha pulchella,semifulva,V04-20150223-051,34,4684,3138
Geometridae,Sterrhinae,Cyclophora,albipunctata,Cyclophora albipunctata,1825926098,NHMUK,34,4684,3138
Geometridae,Ennominae,Parobeidia,gigantearia,Parobeidia gigantearia,marginifascia,A32-20120725-047,34,4684,3138
Notodontidae,Unassigned,Farigia,basiviridis,Farigia basiviridis,1321305209,USNM,60,741,530
Pieridae,Pierinae,Delias,nais,Delias nais,1837858623,NHMUK,65,3082,856
Erebidae,Lithosiinae,Viettesia,infuscata,Viettesia infuscata,1883279617,MNHN,27,5150,2706
Lycaenidae,Polyommatinae,Euchrysops,kabrosae,Euchrysops kabrosae,1039056325,YPM,48,1283,600
Erebidae,Herminiinae,Renia,hutsoni,Renia hutsoni,1946089275,MISSA,27,5150,2706
Nymphalidae,Satyrinae,Aphysoneura,pigmentaria,Aphysoneura pigmentaria,1039046841,YPM,61,3999,1655
Geometridae,Geometrinae,Dindica,wilemani,Dindica wilemani,V36-20180714-210,TESRI,34,4684,3138
Nymphalidae,Nymphalinae,Araschnia,levana,Araschnia levana,3003609277,TAM,61,3999,1655
Erebidae,Erebinae,Beriodesma,zethesoides,Beriodesma zethesoides,1587261048,MNHN,27,5150,2706
Erebidae,Erebinae,Achaea,monodi,Achaea monodi,1671692064,MNHN,27,5150,2706
Geometridae,Ennominae,Eusarca,confusaria,Eusarca confusaria,1932766683,MSU,34,4684,3138
Endromidae,Prismostictinae,Andraca,olivacea,Andraca olivacea,A58-20180812-200,TESRI,23,34,11
Nymphalidae,Limenitidinae,Neptis,incongrua,Neptis incongrua,1039178512,YPM,61,3999,1655
Lycaenidae,Poritiinae,Larinopoda,lagyra,Larinopoda lagyra,1039089173,YPM,48,1283,600
Saturniidae,Hemileucinae,Automeris,kopturae,Automeris kopturae,1039149218,YPM,74,676,311
Erebidae,Herminiinae,Adrapsa,ambrensis,Adrapsa ambrensis,1587260960,MNHN,27,5150,2706
Noctuidae,Noctuinae,Calamia,tridens,Calamia tridens,3003649303,TAM,58,3700,2182
Noctuidae,Cuculliinae,Metaxaglaea,semitaria,Metaxaglaea semitaria,2268760887,MISSA,58,3700,2182
Pieridae,Pierinae,Delias,clathrata,Delias clathrata,1837858674,NHMUK,65,3082,856
Hesperiidae,Hesperiinae,Telicota,colon,Telicota colon,1837857497,NHMUK,39,1463,597
Papilionidae,Papilioninae,Parides,montezuma,Parides montezuma,1321184374,USNM,64,1096,364
Geometridae,Larentiinae,Chloroclysta,siterata,Chloroclysta siterata,3003609224,TAM,34,4684,3138
Noctuidae,Cuculliinae,Oncocnemis,barnesii,Oncocnemis barnesii,2432280651,CSU,58,3700,2182
Pieridae,Pierinae,Delias,pasithoe,Delias pasithoe,1837858690,NHMUK,65,3082,856
Gelechiidae,Dichomeridinae,Dichomeris,citrifoliella,Dichomeris citrifoliella,1585258498,MISSA,33,410,359
Lycaenidae,Poritiinae,Eresina,bergeri,Eresina bergeri,1039170866,YPM,48,1283,600
Noctuidae,Cuculliinae,Lithophane,scottae,Lithophane scottae,2626774348,CSU,58,3700,2182
Erebidae,Lymantriinae,Calliteara,abietis,Calliteara abietis,3003609084,TAM,27,5150,2706
Nymphalidae,Heliconiinae,Acraea,uvui,Acraea uvui,1039093880,YPM,61,3999,1655
Nymphalidae,Charaxinae,Charaxes,lactetinctus,Charaxes lactetinctus,1039078385,YPM,61,3999,1655
Nymphalidae,Charaxinae,Zaretis,ellops,Zaretis ellops,1319388775,USNM,61,3999,1655
Hesperiidae,Hesperiinae,Onryza,maga,Onryza maga,1039137983,YPM,39,1463,597
Pieridae,Pierinae,Pontia,occidentalis,Pontia occidentalis,1320446804,USNM,65,3082,856
Drepanidae,Drepaninae,Ourapteryx,inspersa,Ourapteryx inspersa,A48-20160601-037,TESRI,21,318,131
Pieridae,Pierinae,Delias,discus,Delias discus,1837858682,NHMUK,65,3082,856
Geometridae,Sterrhinae,Scopula,ornata,Scopula ornata,1825897656,NHMUK,34,4684,3138
Nymphalidae,Limenitidinae,Adelpha,zea,Adelpha zea,1039121051,YPM,61,3999,1655
Pyralidae,Phycitinae,Ortholepis,betulae,Ortholepis betulae,3003606927,TAM,71,530,347
Pieridae,Coliadinae,Gonepteryx,burmensis,Gonepteryx burmensis,1317936446,USNM,65,3082,856
Geometridae,Ennominae,Nipteria,mitellaria,Nipteria mitellaria,1319063954,USNM,34,4684,3138
Saturniidae,Hemileucinae,Molippa,sabina,Molippa sabina,1039179289,YPM,74,676,311
Lycaenidae,Theclinae,Habrodais,grunus,Habrodais grunus,1039038668,YPM,48,1283,600
Nymphalidae,Biblidinae,Dynamine,athemon,Dynamine athemon,1039098715,YPM,61,3999,1655
Lycaenidae,Theclinae,Cyanophrys,goodsoni,Cyanophrys goodsoni,1039192883,YPM,48,1283,600
Cossidae,Cossinae,Acossus,terebra,Acossus terebra,3017552459,UTE,18,44,26
Tortricidae,Olethreutinae,Olethreutes,mediopartitum,Olethreutes mediopartitum,1838874706,MISSA,84,938,802
Pieridae,Pierinae,Catasticta,philone,Catasticta philone,1318988043,USNM,65,3082,856
Lycaenidae,Miletinae,Feniseca,tarquinius,Feniseca tarquinius,1039068831,YPM,48,1283,600
Saturniidae,Hemileucinae,Automeris,illustris,Automeris illustris,1039139926,YPM,74,676,311
Hyblaeidae,Hypocalinae,Hyblaea,puera,Hyblaea puera,V31-20170603-044,TESRI,40,11,5
Geometridae,Ennominae,Semiothisa,poltronaria,Semiothisa poltronaria,1319107332,USNM,34,4684,3138
Erebidae,Arctiinae,Nyctemera,arctata,Nyctemera arctata,albofasciata,V37-20190708-028,27,5150,2706
Nymphalidae,Limenitidinae,Abrota,ganga,Abrota ganga,1039106823,YPM,61,3999,1655
Erebidae,Calpinae,Mecodina,subcostalis,Mecodina subcostalis,B28-20131017-004,TESRI,27,5150,2706
Tortricidae,Olethreutinae,Apotomis,albeolana,Apotomis albeolana,1838849147,MISSA,84,938,802
Nymphalidae,Heliconiinae,Dione,glycera,Dione glycera,1039063387,YPM,61,3999,1655
Erebidae,Taxocampinae,Lygephila,pastinum,Lygephila pastinum,3003615016,TAM,27,5150,2706
Nymphalidae,Ithomiinae,Dircenna,loreta,Dircenna loreta,1039063124,YPM,61,3999,1655
Riodinidae,Riodininae,Nymphidium,chione,Nymphidium chione,2301952480,YPM,72,276,148
Hesperiidae,Heteropterinae,Dalla,arpia,Dalla arpia,1318110361,USNM,39,1463,597
Sphingidae,Smerinthinae,Rhodambulyx,davidi,Rhodambulyx davidi,1882416065,NHMUK,79,641,398
Erebidae,Hypeninae,Bertula,abjudicalis,Bertula abjudicalis,A32-20120830-020,TESRI,27,5150,2706
Geometridae,Ennominae,Ectropis,brooksi,Ectropis brooksi,1836107138,NHMUK,34,4684,3138
Erebidae,Arctiinae,Lemyra,alikangensis,Lemyra alikangensis,A43-20160906-024,TESRI,27,5150,2706
Erebidae,Erebinae,Hemeroplanis,scopulepes,Hemeroplanis scopulepes,2432348166,CSU,27,5150,2706
Gelechiidae,Gelechiinae,Gnorimoschema,busckiella,Gnorimoschema busckiella,1320953406,USNM,33,410,359
Choreutidae,Choreutinae,Choreutis,amethystodes,Choreutis amethystodes,A42-20190424-034,TESRI,15,31,20
Pyralidae,Phycitinae,Scorylus,cubensis,Scorylus cubensis,1988585115,MISSA,71,530,347
Erebidae,Erebinae,Catocala,adultera,Catocala adultera,1844643895,MNHN,27,5150,2706
Nymphalidae,Satyrinae,Melanitis,phedima,Melanitis phedima,1039187588,YPM,61,3999,1655
Geometridae,Sterrhinae,Pylargosceles,steganioides,Pylargosceles steganioides,limbaria,A42-20151210-060,34,4684,3138
Riodinidae,Riodininae,Lasaia,maria,Lasaia maria,1039130804,YPM,72,276,148
Geometridae,Geometrinae,Maxates,quadripunctata,Maxates quadripunctata,A42-20190129-005,TESRI,34,4684,3138
Geometridae,Larentiinae,Rhodomena,multangulata,Rhodomena multangulata,1321151435,USNM,34,4684,3138
Pieridae,Pierinae,Pereute,swainsoni,Pereute swainsoni,1039042308,YPM,65,3082,856
Geometridae,Ennominae,Cidariophanes,persaturata,Cidariophanes persaturata,1321187902,USNM,34,4684,3138
Nymphalidae,Nymphalinae,Vanessa,atalanta,Vanessa atalanta,3017472373,UTE,61,3999,1655
Geometridae,Ennominae,Nipteria,pardata,Nipteria pardata,1322804386,USNM,34,4684,3138
Pieridae,Pierinae,Catasticta,notha,Catasticta notha,1322730889,USNM,65,3082,856
Noctuidae,Plusiinae,Autographa,gamma,Autographa gamma,3003624725,TAM,58,3700,2182
Tortricidae,Tortricinae,Cerace,stipatana,Cerace stipatana,formosana,V36-20180714-136,84,938,802
Nymphalidae,Heliconiinae,Terinos,alurgis,Terinos alurgis,1039085575,YPM,61,3999,1655
Geometridae,Larentiinae,Perizoma,alchemillata,Perizoma alchemillata,1825805773,NHMUK,34,4684,3138
Nymphalidae,Nymphalinae,Melitaea,aetherie,Melitaea aetherie,3017464299,UTE,61,3999,1655
Pieridae,Dismorphiinae,Enantia,lina,Enantia lina,1318267163,USNM,65,3082,856
Nymphalidae,Ithomiinae,Greta,polissena,Greta polissena,1039128235,YPM,61,3999,1655
Hesperiidae,Pyrginae,Erynnis,brizo,Erynnis brizo,1039049970,YPM,39,1463,597
Gelechiidae,Anacampsinae,Anacampsis,curtella,Anacampsis curtella,1320511754,USNM,33,410,359
Geometridae,Larentiinae,Psaliodes,basiplaga,Psaliodes basiplaga,1322863916,USNM,34,4684,3138
Tortricidae,Tortricinae,Archips,packardiana,Archips packardiana,1851703008,MISSA,84,938,802
Erebidae,Lithosiinae,Mimulosia,pyraloides,Mimulosia pyraloides,1883279598,MNHN,27,5150,2706
Erebidae,Arctiinae,Pteroodes,longipennis,Pteroodes longipennis,1838883783,MISSA,27,5150,2706
Hesperiidae,Hesperiinae,Oarisma,era,Oarisma era,2432225125,CSU,39,1463,597
Geometridae,Geometrinae,Maxates,sinuolata,Maxates sinuolata,V12-20130628-065,TESRI,34,4684,3138
Geometridae,Ennominae,Caripeta,suffusata,Caripeta suffusata,2432344418,CSU,34,4684,3138
Geometridae,Sterrhinae,Anisodes,vuha,Anisodes vuha,1318685348,USNM,34,4684,3138
Saturniidae,Ceratocampinae,Eacles,oslari,Eacles oslari,2432238573,CSU,74,676,311
Nymphalidae,Nymphalinae,Junonia,villida,Junonia villida,1039044753,YPM,61,3999,1655
Pieridae,Pierinae,Colotis,ione,Colotis ione,1322700585,USNM,65,3082,856
Gelechiidae,Gelechiinae,Teleiodes,luculella,Teleiodes luculella,1585259230,MISSA,33,410,359
Tortricidae,Olethreutinae,Olethreutes,punctanum,Olethreutes punctanum,1838874631,MISSA,84,938,802
Erebidae,Erebinae,Caryonopera,malgassica,Caryonopera malgassica,1426631329,MNHN,27,5150,2706
Nymphalidae,Limenitidinae,Limenitis,helmanni,Limenitis helmanni,1039133109,YPM,61,3999,1655
Saturniidae,Saturniinae,Agapema,anona,Agapema anona,1039052071,YPM,74,676,311
Hesperiidae,Hesperiinae,Panoquina,ocola,Panoquina ocola,1039082481,YPM,39,1463,597
Nepticulidae,Nepticulinae,Stigmella,salicis,Stigmella salicis,1055660433,NHMUK,57,5,5
Notodontidae,Notodontinae,Peridea,monetaria,Peridea monetaria,1836100014,NHMUK,60,741,530
Geometridae,Ennominae,Parobeidia,gigantearia,Parobeidia gigantearia,marginifascia,A38-20130805-039,34,4684,3138
Erebidae,Arctiinae,Conilepia,nigricosta,Conilepia nigricosta,paiwan,A34-20140826-079,27,5150,2706
Papilionidae,Papilioninae,Papilio,clytus,Papilio clytus,1039175131,YPM,64,1096,364
Gracillariidae,Gracillariinae,Caloptilia,invariabilis,Caloptilia invariabilis,1585233584,MISSA,36,65,64
Papilionidae,Papilioninae,Lamproptera,meges,Lamproptera meges,1039025801,YPM,64,1096,364
Nymphalidae,Satyrinae,Bicyclus,sambulos,Bicyclus sambulos,1039192388,YPM,61,3999,1655
Nymphalidae,Nymphalinae,Hypanartia,paullus,Hypanartia paullus,1039093817,YPM,61,3999,1655
Geometridae,Ennominae,Thinopteryx,nebulosa,Thinopteryx nebulosa,V36-20181013-120,TESRI,34,4684,3138
Geometridae,Ennominae,Alcis,nubeculosa,Alcis nubeculosa,A46-20160426-223,TESRI,34,4684,3138
Geometridae,Ennominae,Anacamptodes,defectaria,Anacamptodes defectaria,2432300429,CSU,34,4684,3138
Nymphalidae,Danainae,Euploea,tobleri,Euploea tobleri,1039194205,YPM,61,3999,1655
Erebidae,Hypeninae,Bleptina,caradrinalis,Bleptina caradrinalis,2432359066,CSU,27,5150,2706
Noctuidae,Noctuinae,Plexiphleps,stellifera,Plexiphleps stellifera,A47-20150512-032,TESRI,58,3700,2182
Noctuidae,Plusiinae,Chrysodeixis,copiaria,Chrysodeixis copiaria,1990804977,MNHN,58,3700,2182
Erebidae,Arctiinae,Hemihyalea,edwardsii,Hemihyalea edwardsii,1883280033,MNHN,27,5150,2706
Tortricidae,Tortricinae,Acleris,americana,Acleris americana,1317686254,USNM,84,938,802
Erebidae,Herminiinae,Zanclognatha,marcidilinea,Zanclognatha marcidilinea,1946087344,MISSA,27,5150,2706
Metarbelidae,Unassigned,Indarbela,discipuncta,Indarbela discipuncta,1056968798,NHMUK,52,7,6
Limacodidae,Unassigned,Demonarosa,rufotessellata,Demonarosa rufotessellata,subrosea,A63-20170815-112,47,150,72
Sphingidae,Smerinthinae,Adhemarius,dentoni,Adhemarius dentoni,1826388466,NHMUK,79,641,398
Geometridae,Larentiinae,Stamnodes,deceptiva,Stamnodes deceptiva,1322656492,USNM,34,4684,3138
Saturniidae,Oxyteninae,Oxytenis,naemia,Oxytenis naemia,1039120999,YPM,74,676,311
Noctuidae,Noctuinae,Apamea,perpensa,Apamea perpensa,2432335315,CSU,58,3700,2182
Tortricidae,Olethreutinae,Pelochrista,biquadrana,Pelochrista biquadrana,1838881576,MISSA,84,938,802
Noctuidae,Condicinae,Condica,serva,Condica serva,A35-20140101-014,TESRI,58,3700,2182
Papilionidae,Papilioninae,Graphium,ucalegon,Graphium ucalegon,1039080807,YPM,64,1096,364
Riodinidae,Riodininae,Apodemia,palmerii,Apodemia palmerii,1039152585,YPM,72,276,148
Tortricidae,Olethreutinae,Gypsonoma,sociana,Gypsonoma sociana,1846473407,MISSA,84,938,802
Eupterotidae,Eupterotinae,Ganisa,formosicola,Ganisa formosicola,A63-20190425-191,TESRI,30,32,22
Erebidae,Aventiinae,Corgatha,neona,Corgatha neona,1563875461,MNHN,27,5150,2706
Noctuidae,Noctuinae,Cerastis,leucographa,Cerastis leucographa,3003614378,TAM,58,3700,2182
Pieridae,Pierinae,Mylothris,ngaziya,Mylothris ngaziya,1039102230,YPM,65,3082,856
Nymphalidae,Biblidinae,Myscelia,cyananthe,Myscelia cyananthe,1039102349,YPM,61,3999,1655
Pieridae,Dismorphiinae,Patia,rhetes,Patia rhetes,1039072366,YPM,65,3082,856
Erebidae,Lymantriinae,Dasychira,vagans,Dasychira vagans,1838849200,MISSA,27,5150,2706
Erebidae,Calpinae,Mecodina,cataloxia,Mecodina cataloxia,1570703391,MNHN,27,5150,2706
Hesperiidae,Hesperiinae,Pyrrhopygopsis,romula,Pyrrhopygopsis romula,2432277360,CSU,39,1463,597
Nymphalidae,Satyrinae,Bicyclus,sambulos,Bicyclus sambulos,1039192388,YPM,61,3999,1655
Erebidae,Arctiinae,Grammia,behrii,Grammia behrii,2432247706,CSU,27,5150,2706
Erebidae,Lithosiinae,Exilisia,viettei,Exilisia viettei,1883279493,MNHN,27,5150,2706
Nymphalidae,Nymphalinae,Eresia,mylitta,Eresia mylitta,1039105639,YPM,61,3999,1655
Nymphalidae,Satyrinae,Mycalesis,terminus,Mycalesis terminus,2243049650,NHMUK,61,3999,1655
Pieridae,Pierinae,Catasticta,hebra,Catasticta hebra,1318491063,USNM,65,3082,856
Noctuidae,Noctuinae,Cosmia,unicolor,Cosmia unicolor,A48-20160601-260,TESRI,58,3700,2182
Sphingidae,Smerinthinae,Polyptychus,chinensis,Polyptychus chinensis,V31-20171114-029,TESRI,79,641,398
Erebidae,Arctiinae,Idalus,aleteria,Idalus aleteria,1838881491,MISSA,27,5150,2706
Pieridae,Pierinae,Hesperocharis,graphites,Hesperocharis graphites,1317863005,USNM,65,3082,856
Noctuidae,Noctuinae,Elaphria,trolia,Elaphria trolia,2244419316,MISSA,58,3700,2182
Erebidae,Boletobiinae,Diomea,insulana,Diomea insulana,A35-20170220-064,TESRI,27,5150,2706
Tortricidae,Olethreutinae,Pelochrista,crambitana,Pelochrista crambitana,1838881173,MISSA,84,938,802
Geometridae,Larentiinae,Dysstroma,latefasciata,Dysstroma latefasciata,3017394606,UTE,34,4684,3138
Pieridae,Coliadinae,Eurema,laeta,Eurema laeta,1322493191,USNM,65,3082,856
Pieridae,Coliadinae,Eurema,alitha,Eurema alitha,1320662843,USNM,65,3082,856
