,Taxon,Sex,Name,Suborder,Family,Species
1035,Macroheterocera|Erebidae|Herminiinae|Ectogonia butleri,Female,Ectogonia butleri_female_NMNS2019_22_01,Macroheterocera,Erebidae,Ectogonia butleri
1036,Macroheterocera|Erebidae|Hypeninae|Ectogonia butleri,Male,Ectogonia butleri_male_Meifeng_20-VII-2015_41_1_1_TFRI_800px,Macroheterocera,Erebidae,Ectogonia butleri
1037,Macroheterocera|Erebidae|Hypeninae|Ectogonia butleri,Female,Ectogonia butleri_male_NSMT2015_067,Macroheterocera,Erebidae,Ectogonia butleri
1038,Macroheterocera|Erebidae|Herminiinae|Ectogonia butleri,Male,Ectogonia butleri_male_Yulao_01,Macroheterocera,Erebidae,Ectogonia butleri
1039,Macroheterocera|Geometridae|Ennominae|Ectropis arizanensis,Male,"Ectropis arizanensis Wileman, 1915_male_Meifeng-14-II-2012)SWu&WCChang-10",Macroheterocera,Geometridae,Ectropis arizanensis
1040,Macroheterocera|Geometridae|Ennominae|Ectropis arizanensis,Male,"Ectropis arizanensis Wileman, 1915_Meifeng_2-I-2012_SWu-12",Macroheterocera,Geometridae,Ectropis arizanensis
1041,Macroheterocera|Geometridae|Ennominae|Ectropis arizanensis,Female,Ectropis arizanensis_female_41mm_MOH_800,Macroheterocera,Geometridae,Ectropis arizanensis
1042,Macroheterocera|Geometridae|Ennominae|Ectropis arizanensis,Female,Ectropis arizanensis_female_Chinma_800px,Macroheterocera,Geometridae,Ectropis arizanensis
1043,Macroheterocera|Geometridae|Ennominae|Ectropis bhurmitra,Male,Ectropis bhurmitra_male_Duoliang_11-XII-2015_SFHuang&LTHsieh_02_1,Macroheterocera,Geometridae,Ectropis bhurmitra
1044,Macroheterocera|Geometridae|Ennominae|Ectropis excellens,Male,Ectropis excellens_male_TFRI00118701_Bishanyen_13(26)-VI-2010_大青_SWU,Macroheterocera,Geometridae,Ectropis excellens
1045,Macroheterocera|Erebidae|Herminiinae|Edessena gentiusalis,Female,Edessena gentiusalis_female_TFRI_800px,Macroheterocera,Erebidae,Edessena gentiusalis
1046,Macroheterocera|Erebidae|Herminiinae|Edessena gentiusalis,Male,Edessena gentiusalis_male_FBG_TFRI_800px,Macroheterocera,Erebidae,Edessena gentiusalis
1047,Macroheterocera|Noctuidae|Hadeninae|Egira acronyctoides,Female,Egira acronictoides_female_800px,Macroheterocera,Noctuidae,Egira acronyctoides
1048,Macroheterocera|Noctuidae|Hadeninae|Egira acronyctoides,Male,Egira acronyctoides_male_Xicun_800px,Macroheterocera,Noctuidae,Egira acronyctoides
1049,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Eilema karenkona,Male,Eilema karenkona_male_Tiankou_24-III-2018_SWu&SSWu_TFRI195845_dissected,Macroheterocera,Erebidae,Eilema karenkona
1050,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Cernyia usuguronis,Male,Eilema ranrunensis_male_Qeidongjiashan_11-VIII-2015_02_1_1,Macroheterocera,Erebidae,Cernyia usuguronis
1051,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Eilema rubrescens,Male,Eilema rubrescens_male_21mm_800,Macroheterocera,Erebidae,Eilema rubrescens
1052,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Eilema subcosteola,Male,Eilema subcosteola_male_Xinbaiyang_20-VIII-2015_001_1_800px,Macroheterocera,Erebidae,Eilema subcosteola
1053,Macroheterocera|Geometridae|Ennominae|Eilicrinia nuptaria,Male,Eilicrinia nuptaria_Cien_VIII-2012_SWu&WCChang_02,Macroheterocera,Geometridae,Eilicrinia nuptaria
1054,Macroheterocera|Geometridae|Ennominae|Eilicrinia nuptaria,Female,Eilicrinia nuptaria_female_Ci'en_25-V-2012_SWu&WCChang-01,Macroheterocera,Geometridae,Eilicrinia nuptaria
1055,Macroheterocera|Geometridae|Ennominae|Eilicrinia sp.,Male,Eilicrinia sp_Cien_VIII-2012_SWu&WCChang_02,Macroheterocera,Geometridae,Eilicrinia sp.
1056,Macroheterocera|Geometridae|Ennominae|Eilicrinia sp.,Female,Eilicrinia sp_female_Ci'en_25-V-2012_SWu&WCChang-01,Macroheterocera,Geometridae,Eilicrinia sp.
1057,Macroheterocera|Nolidae|Eligma narcissus,Female,Eligma narcissus_female_MOH,Macroheterocera,Nolidae,Eligma narcissus
1058,Macroheterocera|Notodontidae|Ellida arcuata,Male,Ellida arcuata_male_Yulao_1-III-2019_SWu_TFRI204932,Macroheterocera,Notodontidae,Ellida arcuata
1059,Macroheterocera|Noctuidae|Hadeninae|Elusa ustula,Female,Elusa ustula_female_Wulai_15-III-2014_SWu&WCChang_02_1,Macroheterocera,Noctuidae,Elusa ustula
1060,Macroheterocera|Noctuidae|Xyleninae|Elwesia sugii yoshimotoi,Male,Elwesia sugii yoshimotoi_male_Mingchi_28-II-2016-12_TGLai,Macroheterocera,Noctuidae,Elwesia sugii yoshimotoi
1061,Macroheterocera|Noctuidae|Xyleninae|Elwesia sugii yoshimotoi,Male,Elwesia sugii yoshimotoi_male_NSMT2015_227_1_800,Macroheterocera,Noctuidae,Elwesia sugii yoshimotoi
1062,Macroheterocera|Noctuidae|Xyleninae|Elwesia sugii yoshimotoi,Female,Elwesia sugii_female_800px,Macroheterocera,Noctuidae,Elwesia sugii yoshimotoi
1063,Microlepidoptera|Crambidae|Emphylica diaphana,Female,Emphylica diaphana 淡色錐額野螟蛾_16mm_female_ESRI_1,Microlepidoptera,Crambidae,Emphylica diaphana
1064,Microlepidoptera|Hepialidae|Endoclita meifenga,Male,"Endoclita meifenga Buchsbaum & Grehan, 2019_HT_R0018053_mana",Microlepidoptera,Hepialidae,Endoclita meifenga
1065,Microlepidoptera|Hepialidae|Endoclita sinensis,Male,Endoclita sinensis  120506@特生中心_ESG4233-41 combine,Microlepidoptera,Hepialidae,Endoclita sinensis
1066,Microlepidoptera|Hepialidae|Endoclita sinensis,Female,Endoclita sinensis_ESG4217-26 combine,Microlepidoptera,Hepialidae,Endoclita sinensis
1067,Microlepidoptera|Pyralidae|Endotricha consocia,Male,Endotricha consocia 併脈歧角螟蛾_18mm_male_ESRI,Microlepidoptera,Pyralidae,Endotricha consocia
1068,Microlepidoptera|Pyralidae|Endotricha luteogrisalis,Female,Endotricha luteogrisalis 寬黃帶歧角螟_18mm_female_ESRI,Microlepidoptera,Pyralidae,Endotricha luteogrisalis
1069,Microlepidoptera|Pyralidae|Endotricha mesenterialis,Male,Endotricha mesenterialis 黃帶歧角螟蛾_15mm_male_ESRI,Microlepidoptera,Pyralidae,Endotricha mesenterialis
1070,Microlepidoptera|Pyralidae|Endotricha metacuralis,Female,Endotricha metacuralis 後黃帶歧角螟_19mm_female_ESRI_mana,Microlepidoptera,Pyralidae,Endotricha metacuralis
1071,Microlepidoptera|Pyralidae|Endotricha metacuralis,Female,Endotricha metacuralis_female_Tatajia_12-V-2012_SWu&WCChang_156868-01_2400px,Microlepidoptera,Pyralidae,Endotricha metacuralis
1072,Microlepidoptera|Pyralidae|Endotricha metacuralis,Female,Endotricha metacuralis_female_Tatajia_12-V-2012_SWu&WCChang_156868-01_800px,Microlepidoptera,Pyralidae,Endotricha metacuralis
1073,Microlepidoptera|Pyralidae|Endotricha minialis,Female,Endotricha minialis 玫紅歧角螟蛾_19mm_female_ESRI,Microlepidoptera,Pyralidae,Endotricha minialis
1074,Microlepidoptera|Pyralidae|Endotricha minialis,Female,Endotricha minialis 玫紅歧角螟蛾_20mm_female_ESRI,Microlepidoptera,Pyralidae,Endotricha minialis
1075,Microlepidoptera|Pyralidae|Endotricha olivacealis,Female,Endotricha olivacealis 欖綠歧角螟蛾_19mm_female_ESRI,Microlepidoptera,Pyralidae,Endotricha olivacealis
1076,Microlepidoptera|Pyralidae|Endotricha similata,Male,Endotricha similata 尖突歧角螟蛾_18mm_male_ESRI,Microlepidoptera,Pyralidae,Endotricha similata
1077,Macroheterocera|Geometridae|Ennominae|Entomopteryx combusta,Female,Entomopteryx combusta_female_Donghe_16-VI-2013_TFRI+01,Macroheterocera,Geometridae,Entomopteryx combusta
1078,Macroheterocera|Geometridae|Ennominae|Entomopteryx combusta,Male,Entomopteryx combusta_male_Donghe_16-VI-2013_TFRI+01,Macroheterocera,Geometridae,Entomopteryx combusta
1079,Macroheterocera|Geometridae|Ennominae|Entomopteryx combusta,Male,Entomopteryx combusta_male_Fushan_11-IV-2015_SWu_05_1_800,Macroheterocera,Geometridae,Entomopteryx combusta
1080,Macroheterocera|Geometridae|Ennominae|Entomopteryx combusta,Male,Entomopteryx combusta_male_Shanping_5-VII-2013_TFRI+01,Macroheterocera,Geometridae,Entomopteryx combusta
1081,Macroheterocera|Geometridae|Ennominae|Entomopteryx combusta,Male,Entomopteryx combusta_male_Yinhedong_reared_2016_800px,Macroheterocera,Geometridae,Entomopteryx combusta
1082,Macroheterocera|Geometridae|Ennominae|Entomopteryx rubridisca,Male,Entomopteryx rubridisca_male_G20150707-381_1,Macroheterocera,Geometridae,Entomopteryx rubridisca
1083,Microlepidoptera|Crambidae|Eoophyla conjunctalis,Female,Eoophyla conjunctalis 連斑水螟蛾_25mm_female_ESRI_1,Microlepidoptera,Crambidae,Eoophyla conjunctalis
1084,Microlepidoptera|Crambidae|Eoophyla gibbosalis,Female,Eoophyla gibbosalis_AcademiaSinica_28_XI-2018_SWu_01,Microlepidoptera,Crambidae,Eoophyla gibbosalis
1085,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia formosana,Male,Eospilarctia formosana_male_40mm_800,Macroheterocera,Erebidae,Eospilarctia formosana
1086,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia nehallenia baibarensis,Female,Eospilarctia nehallenia_female_MOH_48mm,Macroheterocera,Erebidae,Eospilarctia nehallenia baibarensis
1087,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia nehallenia baibarensis,Male,Eospilarctia nehallenia_male_42mm_800,Macroheterocera,Erebidae,Eospilarctia nehallenia baibarensis
1088,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia neurographa,Male,Eospilarctia neurographa_male_34mm_800,Macroheterocera,Erebidae,Eospilarctia neurographa
1089,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia neurographa,Male,Eospilarctia neurographa_male_Meifeng_20-VII-2015_10_1_1_800px,Macroheterocera,Erebidae,Eospilarctia neurographa
1090,Macroheterocera|Erebidae|Arctiinae|Arctiini|Eospilarctia neurographa,Male,Eospilarctia neurographa_male_NSMT2015_071_800,Macroheterocera,Erebidae,Eospilarctia neurographa
1091,Macroheterocera|Epicopeiidae|Epicopeia hainesii matsumurai,Male,"Epicopeia hainesii matsumurai Okano, 1973 01",Macroheterocera,Epicopeiidae,Epicopeia hainesii matsumurai
1092,Macroheterocera|Epicopeiidae|Epicopeia hainesii matsumurai,Female,"Epicopeia hainesii matsumurai Okano, 1973 02",Macroheterocera,Epicopeiidae,Epicopeia hainesii matsumurai
1093,Macroheterocera|Epicopeiidae|Epicopeia hainesii matsumurai,Female,Epicopeia hainesii matsumurai_female,Macroheterocera,Epicopeiidae,Epicopeia hainesii matsumurai
1094,Macroheterocera|Epicopeiidae|Epicopeia hainesii matsumurai,Female,Epicopeia hainesii matsumurai_female_NSMT2015_069_800,Macroheterocera,Epicopeiidae,Epicopeia hainesii matsumurai
1095,Macroheterocera|Epicopeiidae|Epicopeia mencia,Female,Epicopeia hainesii matsumurai_LCShih_DSE_8378,Macroheterocera,Epicopeiidae,Epicopeia mencia
1096,Macroheterocera|Epicopeiidae|Epicopeia hainesii matsumurai,Male,Epicopeia hainesii matsumurai_male_JiantaiLogingTrail_2-IX-2017_HanYuLin_mana,Macroheterocera,Epicopeiidae,Epicopeia hainesii matsumurai
1097,Macroheterocera|Epicopeiidae|Epicopeia mencia,Female,Epicopeia mencia_female-01,Macroheterocera,Epicopeiidae,Epicopeia mencia
1098,Macroheterocera|Geometridae|Larentiinae|Epilobophora venipicta,Male,"Epilobophora nishizawai Yazaki, 1986_FBG_10-IV-2015_SWu&WCChang_60_1",Macroheterocera,Geometridae,Epilobophora venipicta
1099,Macroheterocera|Geometridae|Larentiinae|Epilobophora venipicta,Female,Epilobophora nishizawai_female_Tianwan_19-III-2013_SWu_13.jpeg_800px,Macroheterocera,Geometridae,Epilobophora venipicta
1100,Macroheterocera|Geometridae|Larentiinae|Epilobophora venipicta,Female,Epilobophora venipincta_female_Anmashan_17-VI-2013_010.jpeg_800px,Macroheterocera,Geometridae,Epilobophora venipicta
1101,Microlepidoptera|Crambidae,Female,Epipagis setinalis 脈點黃野螟_31mm_female_ESRI_1,Microlepidoptera,Crambidae,Epipagis setinalis
1102,Microlepidoptera|Epipyropidae|Epipomponia nawai,Female,Epipomponia nawai_female_Xingbaiyang_VIII-2015,Microlepidoptera,Epipyropidae,Epipomponia nawai
1103,Macroheterocera|Drepanidae|Epipsestis bilineata pallida,Female,Epipsestis bilineata pallida_female_MSE2000_19-20-XI-2015-1_1,Macroheterocera,Drepanidae,Epipsestis bilineata pallida
1104,Macroheterocera|Drepanidae|Epipsestis bilineata pallida,Male,Epipsestis bilineata pallida_male_MSE2000_20-XI-2015_SWu&JCHuang_004_800,Macroheterocera,Drepanidae,Epipsestis bilineata pallida
1105,Macroheterocera|Drepanidae|Epipsestis cortigera,Female,Epipsestis cortigera Yoshimoto_female_22mm_800,Macroheterocera,Drepanidae,Epipsestis cortigera
1106,Macroheterocera|Drepanidae|Epipsestis manmiaoyangi,Female,Epipsestis manmaioyangi_female_NSMT2015_244_1,Macroheterocera,Drepanidae,Epipsestis manmiaoyangi
1107,Macroheterocera|Geometridae|Larentiinae|Epirrita sp.,Male,Epirrita sp_male_Ci'en_18-XII-2012_SWu_800,Macroheterocera,Geometridae,Epirrita sp.
1108,Macroheterocera|Geometridae|Larentiinae|Epirrita usuao,Male,Epirrita usuao_male_Ci'en_18-XII-2012_SWu_01,Macroheterocera,Geometridae,Epirrita usuao
1109,Macroheterocera|Geometridae|Larentiinae|Epirrita usuao,Male,Epirrita usuao_male_HT_Ci'en_18-XII-2012_SWu_2400,Macroheterocera,Geometridae,Epirrita usuao
1110,Macroheterocera|Geometridae|Larentiinae|Episteira nigrifrons,Female,"Episteira nigrifrons (Warren, 1907)_female_Tengchyr_8-III-2014_CHWang_01_800",Macroheterocera,Geometridae,Episteira nigrifrons
1111,Macroheterocera|Noctuidae|Agaristinae|Episteme lectrix sauteri,Female,Episteme lectrix sauteri 選彩虎蛾_female_21-II-2013_曾聰賢_01,Macroheterocera,Noctuidae,Episteme lectrix sauteri
1112,Macroheterocera|Noctuidae|Agaristinae|Episteme lectrix sauteri,Male,Episteme lectrix sauteri_male_NSMT2015_336_1_800,Macroheterocera,Noctuidae,Episteme lectrix sauteri
1113,Macroheterocera|Geometridae|Ennominae|Epobeidia lucifera extranigricans,Female,"Epobeidia lucifera extranigricans (Wehrli, 1933)_Guanwu_29-VII-2011_SWu&WCChang-12",Macroheterocera,Geometridae,Epobeidia lucifera extranigricans
1114,Macroheterocera|Geometridae|Ennominae|Epobeidia lucifera extranigricans,Female,Epobeidia lucifera extranigricans_female_NSMT2015_164_1_800,Macroheterocera,Geometridae,Epobeidia lucifera extranigricans
1115,Macroheterocera|Geometridae|Ennominae|Epobeidia lucifera extranigricans,Male,Epobeidia lucifera_male_800,Macroheterocera,Geometridae,Epobeidia lucifera extranigricans
1116,Macroheterocera|Geometridae|Ennominae|Epobeidia tigrata maxima,Female,Epobeidia tigrata maxima_female_Meifeng_20-VII-2015_SWu_004_1_1_800px,Macroheterocera,Geometridae,Epobeidia tigrata maxima
1117,Macroheterocera|Geometridae|Ennominae|Epobeidia tigrata maxima,Male,Epobeidia tigrata maxima_male_Jianshi_9-VI-2018_SWu_TFRI209013,Macroheterocera,Geometridae,Epobeidia tigrata maxima
1118,Macroheterocera|Geometridae|Ennominae|Epobeidia lucifera extranigricans,Male,Epobeidit1 lucifem_male_Biluxi_1-VII-2015_SSLu_16_1_800,Macroheterocera,Geometridae,Epobeidia lucifera extranigricans
1119,Microlepidoptera|Limacodidae|Epsteinius translucidus,Female,"Epsteinius translucidus Lin, 2020_female_PT",Microlepidoptera,Limacodidae,Epsteinius translucidus
1120,Microlepidoptera|Limacodidae|Epsteinius translucidus,Male,"Epsteinius translucidus Lin, 2020_male_HT",Microlepidoptera,Limacodidae,Epsteinius translucidus
1121,Macroheterocera|Geometridae|Winter_geometrid|Erannis golda,Male,Erannis golda_male_40mm_800px,Macroheterocera,Geometridae,Erannis golda
1122,Microlepidoptera|Zygaenidae|Erasmiphlebohecta picturata,Female,Erasmiphlebohecta picturata_female_LCShih_ESRI 拷貝,Microlepidoptera,Zygaenidae,Erasmiphlebohecta picturata
1123,Microlepidoptera|Zygaenidae|Erasmiphlebohecta picturata,Male,Erasmiphlebohecta picturata_male_LCShih_ESRI,Microlepidoptera,Zygaenidae,Erasmiphlebohecta picturata
1124,Macroheterocera|Erebidae|Erebinae|Ercheia niveostrigata,Male,Ercheia umbrosa_male_Galahe_25-VIII-2010_SWu-10_800,Macroheterocera,Erebidae,Ercheia niveostrigata
1125,Macroheterocera|Erebidae|Boletobiinae|Panilla costipunctata,Male,Erebidae_Ci'en_25-V-2012_SWu&WCChang-08_800,Macroheterocera,Erebidae,Panilla costipunctata
1126,Macroheterocera|Erebidae|Erebinae|Erebus caprimulgus,Female,Erebus caprimulgus_female_Donghe_16-VI-2013_01_800,Macroheterocera,Erebidae,Erebus caprimulgus
1127,Macroheterocera|Erebidae|Erebinae|Erebus caprimulgus,Female,Erebus caprimulgus_male_Shanping_5-VII-2014_SWu&WCChang_08_800,Macroheterocera,Erebidae,Erebus caprimulgus
1128,Macroheterocera|Erebidae|Erebinae|Erebus ephesperis,Female,Erebus ephesperis_female_Neuodo_26-IX-2015_CCYang,Macroheterocera,Erebidae,Erebus ephesperis
1129,Macroheterocera|Erebidae|Erebinae|Erebus ephesperis,Male,Erebus ephesperis_female_Shikanshui_21-IX-2017_CHHu&KYHe_TFRI201138_1_dissected_800,Macroheterocera,Erebidae,Erebus ephesperis
1130,Macroheterocera|Erebidae|Erebinae|Erebus macrops,Female,Erebus macrops_female_Taitung_20-VII-2018_mana_1800,Macroheterocera,Erebidae,Erebus macrops
1131,Macroheterocera|Erebidae|Erebinae|Erebus macrops,Male,Erebus macrops_NSMT2015_320_1,Macroheterocera,Erebidae,Erebus macrops
1132,Macroheterocera|Erebidae|Erebinae|Erebus macrops,Female,Erebus macrops_NSMT2015_324_1,Macroheterocera,Erebidae,Erebus macrops
1133,Macroheterocera|Erebidae|Arctiinae|Arctiini|Amata wilemani,Male,ERE_ARC_S_Amata wilemani_male_Wuling_24-VI-2009_800px,Macroheterocera,Erebidae,Amata wilemani
1134,Macroheterocera|Erebidae|Arctiinae|Arctiini|Amerila astrea,Female,"ERE_ARC_S_Amerila astrea (Drury, 1773)_female_Nanrenshan_14-VIII-2010_SWu_800",Macroheterocera,Erebidae,Amerila astrea
1135,Macroheterocera|Erebidae|Arctiinae|Arctiini|Areas galactina formosana,Male,"ERE_ARC_S_Areas galactina formosana Okano, 1960_male_PCCU_III-2013_800",Macroheterocera,Erebidae,Areas galactina formosana
1136,Macroheterocera|Erebidae|Arctiinae|Arctiini|Mangina argus,Female,"ERE_ARC_S_Argina argus (Kollar, 1847)_female_Renluen_22-IV-2010_SWu_TFRI00119758_800",Macroheterocera,Erebidae,Mangina argus
1137,Macroheterocera|Erebidae|Arctiinae|Arctiini|Argyarctia fuscobasalis,Male,"ERE_ARC_S_Argyarctia fuscobasalis (Matsumura, 1930)_male_Cien_16-IV-2013_SWu_800 (1)",Macroheterocera,Erebidae,Argyarctia fuscobasalis
1138,Macroheterocera|Erebidae|Arctiinae|Arctiini|Lemyra alikangensis,Female,"ERE_ARC_S_Lemyra alikangensis (Strand, 1915)_female_Luanshan_22-VII-2010_SWu&WCChang_800",Macroheterocera,Erebidae,Lemyra alikangensis
1139,Macroheterocera|Erebidae|Arctiinae|Arctiini|Lemyra fallaciosa,Female,"ERE_ARC_S_Lemyra fallaciosa (Matsumura, 1930)_female_Siyuanyako_25-X-2014_SW_800",Macroheterocera,Erebidae,Lemyra fallaciosa
1140,Macroheterocera|Erebidae|Arctiinae|Arctiini|Lemyra wernerthomasi,Male,"ERE_ARC_S_Lemyra wernerthomasi Inoue, 1993_male_Tatajia_8-IX-2011_TFRI00128559_800",Macroheterocera,Erebidae,Lemyra wernerthomasi
1141,Macroheterocera|Erebidae|Arctiinae|Arctiini|Nikaea matsumurai,Female,"ERE_ARC_S_Nikaea longipennis matsumurai Kishida, 1983_female__TFRI00126653_Longgang_9-XI-2010_JHLin_800",Macroheterocera,Erebidae,Nikaea matsumurai
1142,Macroheterocera|Erebidae|Arctiinae|Arctiini|Spilarctia alba kikuchii,Male,"ERE_ARC_S_Spilarctia alba kikuchii (Matsumura, 1927)_male_Xicun(1090m)_15-III-2012_SWu&WCChang_800",Macroheterocera,Erebidae,Spilarctia alba kikuchii
1143,Macroheterocera|Erebidae|Arctiinae|Arctiini|Spilarctia alba kikuchii,Male,"ERE_ARC_S_Spilarctia alba kikuchii (Matsumura, 1927)_male_Xicun(1090m)_15-III-2012_SWu&WCChang_TFRI00138530_800",Macroheterocera,Erebidae,Spilarctia alba kikuchii
1144,Macroheterocera|Erebidae|Arctiinae|Arctiini|Spilarctia clava,Male,ERE_ARC_S_Spilarctia clava_male_Cien_12-III-2013_SWu_800,Macroheterocera,Erebidae,Spilarctia clava
1145,Macroheterocera|Erebidae|Arctiinae|Arctiini|Spilarctia rubida,Male,ERE_ARC_S_Spilarctia rubida_male_22-IV-2010_SWu_TFRI00119776_800,Macroheterocera,Erebidae,Spilarctia rubida
1146,Macroheterocera|Erebidae|Arctiinae|Arctiini|Spilarctia subtestacea,Male,"ERE_ARC_S_Spilarctia subtestacea (Rothschild, 1910)_male_Shanmei_27-XII-2011_WCChang&SWu_800",Macroheterocera,Erebidae,Spilarctia subtestacea
1147,Macroheterocera|Erebidae|Lymantriinae|Calliteara arizana,Female,ERE_LYM_S_Calliteara arizana_female__logan_006_800,Macroheterocera,Erebidae,Calliteara arizana
1148,Macroheterocera|Erebidae|Erebinae|Ericeia elongata,Male,Ericeia elongata_Tianwan_2-VII-2014_SWu&WCChang_07_800,Macroheterocera,Erebidae,Ericeia elongata
1149,Macroheterocera|Erebidae|Erebinae|Ericeia elongata,Female,Ericeia elongata__Logan_2014_029_800,Macroheterocera,Erebidae,Ericeia elongata
1150,Macroheterocera|Erebidae|Erebinae|Ericeia eriophora,Male,"Ericeia eriophora (Guenée, 1852)_male_Mudan_28-IV-2011_LMJuang_800",Macroheterocera,Erebidae,Ericeia eriophora
1151,Macroheterocera|Erebidae|Erebinae|Ericeia subcinerea,Female,Ericeia sp_male_38mm_800,Macroheterocera,Erebidae,Ericeia subcinerea
1152,Macroheterocera|Erebidae|Erebinae|Ericeia subcinerea,Male,"Ericeia subcinerea (Snellen, 1880)_male_PCCU_5-VIII-2013_PSChun_800",Macroheterocera,Erebidae,Ericeia subcinerea
1153,Macroheterocera|Erebidae|Erebinae|Ericeia subcinerea,Female,Ericeia subcinerea_female_Chin-maTunnel_ESRI_002_dissected,Macroheterocera,Erebidae,Ericeia subcinerea
1154,Macroheterocera|Erebidae|Erebinae|Ericeia subcinerea,Female,Ericeia subcinerea_Tianwan_2-VII-2014_SWu&WCChang_10_800,Macroheterocera,Erebidae,Ericeia subcinerea
1155,Macroheterocera|Bombycidae|Ernolatia moorei,Male,Ernolatia moorei_male_TFRI_043_800,Macroheterocera,Bombycidae,Ernolatia moorei
1156,Macroheterocera|Erebidae|Erebinae|Erygia apicalis,Male,Erygia apicalis_male_Yulao_logan_29_800,Macroheterocera,Erebidae,Erygia apicalis
1157,Macroheterocera|Geometridae|Larentiinae|Esakiopteryx venusta,Female,Esakiopteryx venusta_female_Chinma_12-III-2013_SWu_01.jpeg_800px,Macroheterocera,Geometridae,Esakiopteryx venusta
1158,Macroheterocera|Geometridae|Larentiinae|Eschatarchia lineata formosana,Female,Eschatarchia lineata formosana_female_Yulao_CGLai_TFRI_12,Macroheterocera,Geometridae,Eschatarchia lineata formosana
1159,Microlepidoptera|Zygaenidae|Eterusia aedea formosana,Male,Eterusia aedea formosana_male_mana,Microlepidoptera,Zygaenidae,Eterusia aedea formosana
1160,,Male,Eterusia aedea formosana_male_Sikanshui_21-IX-2017_SWu_11,,,Eterusia aedea formosana
1161,Macroheterocera|Geometridae|Ennominae|Euchristophia cumulata meridionalis,Male,Euchristophia cumulata meridionalis_male_Yulao_17-VI-2015_24_1,Macroheterocera,Geometridae,Euchristophia cumulata meridionalis
1162,Macroheterocera|Geometridae|Ennominae|Euchristophia cumulata meridionalis,Male,Euchristophia cumulata_male_800,Macroheterocera,Geometridae,Euchristophia cumulata meridionalis
1163,Macroheterocera|Geometridae|Larentiinae|Gandaritis octoscripta,Male,Eucosmabraxas octoscripta_male_Taipingshan_24-VI-2011_SWu&WCChang,Macroheterocera,Geometridae,Gandaritis octoscripta
1164,Macroheterocera|Geometridae|Geometrinae|Eucyclodes gavissima aphrodite,Female,Eucyclodes gavissima aphrodite_female_Meifeng_20-VII-2015_18_1_1_800px,Macroheterocera,Geometridae,Eucyclodes gavissima aphrodite
1165,Macroheterocera|Geometridae|Geometrinae|Eucyclodes gavissima aphrodite,Male,Eucyclodes gavissima aphrodite_male_Sheibai_20-VI-2015_CCYang_005,Macroheterocera,Geometridae,Eucyclodes gavissima aphrodite
1166,Macroheterocera|Geometridae|Geometrinae|Eucyclodes infracta,Male,"Eucyclodes infracta (Wileman, 1911)_male_Taiping_VIII-2015_APCheng_001_800px",Macroheterocera,Geometridae,Eucyclodes infracta
1167,Macroheterocera|Geometridae|Geometrinae|Eucyclodes infracta,Male,"Eucyclodes infracta (Wileman, 1911)_male_Taiping_VIII-2015_APCheng_002_800px",Macroheterocera,Geometridae,Eucyclodes infracta
1168,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Eucyclopera sp. nov.,Male,Eucyclopera sp nov_male_Guanwu_17-VI-2015_SWu&MOwada_TFRI154076_800_800px,Macroheterocera,Erebidae,Eucyclopera sp. nov.
1169,Macroheterocera|Erebidae|Calpinae|Eudocima homaena,Female,Eudocima homaena_female_73mm,Macroheterocera,Erebidae,Eudocima homaena
1170,Macroheterocera|Erebidae|Calpinae|Eudocima homaena,Male,Eudocima homaena_male_71mm,Macroheterocera,Erebidae,Eudocima homaena
1171,Macroheterocera|Erebidae|Calpinae|Eudocima okurai,Male,"Eudocima okurai (Okano, 1964)_male_logan_010_80",Macroheterocera,Erebidae,Eudocima okurai
1172,Macroheterocera|Erebidae|Calpinae|Eudocima phalonia,Female,Eudocima phalonia_female_80mm,Macroheterocera,Erebidae,Eudocima phalonia
1173,Macroheterocera|Erebidae|Calpinae|Eudocima phalonia,Male,Eudocima phalonia_male_76mm,Macroheterocera,Erebidae,Eudocima phalonia
1174,Macroheterocera|Erebidae|Calpinae|Eudocima salaminia,Male,Eudocima salaminia_female_74mm,Macroheterocera,Erebidae,Eudocima salaminia
1175,Macroheterocera|Erebidae|Calpinae|Eudocima tyrannus,Male,Eudocima tyrannus_female_92mm,Macroheterocera,Erebidae,Eudocima tyrannus
1176,Macroheterocera|Erebidae|Aventiinae|Eugnathia pulcherrima,Female,"Eugnathia pulcherrima (Butler, 1879)_female_Dahanshan_6-IV-2013_廖文泉_1800",Macroheterocera,Erebidae,Eugnathia pulcherrima
1177,Macroheterocera|Erebidae|Arctiinae|Lithosiini|Eugoa formosicola,Male,Eugoa formosicola male_Luanshan_22-VII-2012_SWu&WCChang_TFRI174665_1_diisected,Macroheterocera,Erebidae,Eugoa formosicola
