No.,,label,Family,ID_20210210,ID(ima),Note_2021,Note,Sex,leg,Altitude,Date,,https://docs.google.com/spreadsheets/d/1RHkhHfEt1v9-deuz8HKdCWCuM4Mm_BVllWvMIyoT8iw/edit#gid=698436074,Species,Sex,Dw(g),NOTE,N_W_length,N_B_length,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,點測,,,,
CATT1749,1749,,Pyralidae,CA_PYR07,CA_PYR07,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00560,,10.01,10.05,,,,,,,0,1,7081_IR.jpg,19.7,20,19.9,7091_IR.jpg,3.2,7.4,6.3,,,,,
CATT1748,1748,,Crambidae,CA_CRA30,CA_CRA30,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00680,,11.64,10.22,,,,,,,1,0,7077_IR.jpg,20,20.1,20.1,7093_IR.jpg,38.8,41.1,40,,,,,
CATT1747,1747,,Crambidae,CA_CRA02,CA_CRA02,,RSimage,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01960,,13.07,11.95,,,,,,,0,1,7075_IR.jpg,20.1,20.3,20.2,7099_IR.jpg,3.3,7.9,6.5,,,,,
CATT1746,1746,,Crambidae,CA_CRA124-1,CA_CRA124,modify,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01250,,16.02,13.09,,,,,,,1,0,7059_IR.jpg,19.6,19.8,19.7,7079_IR.jpg,38.2,39.9,39.3,,,,,
CATT1745,1745,,Crambidae,CA_CRA12,CA_CRA12,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00950,,16.61,15.09,,,,,,,1,0,7057_IR.jpg,19.7,19.9,19.8,7071_IR.jpg,40.2,41.7,40.9,,,,,
CATT1744,1744,,Crambidae,CA_CRA30,CA_CRA30,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00460,,10.28,9.14,,,,,,,0,1,7051_IR.jpg,19.5,19.6,19.5,7067_IR.jpg,1.7,3,2.5,,,,,
CATT1743,1743,,Erebidae,CA_ERE33,CA_ERE33,,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.02660,,16.82,13.94,,,,,,,1,0,7049_IR.jpg,19.5,19.8,19.6,7073_IR.jpg,41.2,43.3,42.3,,,,,
CATT1742,1742,,Erebidae,CA_LYM14,CA_LYM14,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.05250,,19.04,15.86,,,,,,,0,1,7047_IR.jpg,20.1,20.3,20.2,7063_IR.jpg,2.5,6.7,5.4,,,,,
CATT1741,1741,,Geometridae,CA_GEO78,CA_GEO78,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01940,,20.32,13.64,,,,,,,1,0,7045_IR.jpg,19.6,19.9,19.8,7069_IR.jpg,38.3,41.4,39.9,,,,,
CATT1740,1740,,Pyralidae,CA_PYR38,CA_PYR10,modify,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00870,,9.74,8.44,,,,,,,0,1,7041_IR.jpg,19.3,19.5,19.4,7065_IR.jpg,-0.3,3.7,2.6,,,,,
CATT1739,1739,,Geometridae,CA_GEO50,CA_GEO50,,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01380,,15.8,10.48,,,,,,,1,0,7037_IR.jpg,19.5,19.6,19.5,7053_IR.jpg,39.2,42.1,40.8,,,,,
CATT1738,1738,,Crambidae,CA_CRA101,CA_CRA101,,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00700,拆板時身體連後翅斷，秤重後黏合,9.87,9.34,,,,,,,0,1,7031_IR.jpg,20,20.2,20.1,7061_IR.jpg,1.1,2.9,2,,,,,
CATT1737,1737,,Erebidae,CA_LIT37,CA_LIT37,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00340,,8.97,7.06,,,,,,,1,0,7019_IR.jpg,19.4,19.6,19.5,7035_IR.jpg,40.6,43.7,41.9,,,,,
CATT1736,1736,,Geometridae,CA_GEO80,CA_GEO79,modify,,f,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01290,,16.92,11.73,,,,,,,1,0,7017_IR.jpg,19.3,19.5,19.4,7043_IR.jpg,38.6,41.2,40,,,,,
CATT1735,1735,,Crambidae,CA_CRA07,CA_CRA07,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00930,,12.41,10.21,,,,,,,0,1,7015_IR.jpg,19.5,19.6,19.5,7033_IR.jpg,1.3,4.9,2.9,,,,,
CATT1734,1734,,Erebidae,CA_LYM18,CA_LYM18,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.03550,,19.88,17.83,,,,,,,1,0,7013_IR.jpg,19.2,19.4,19.3,7039_IR.jpg,43.4,45.1,44,,,,,
CATT1733,1733,,Pyralidae,CA_PYR18,CA_PYR18,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.02660,,16.64,15.38,,,,,,,0,1,7011_IR.jpg,19.5,19.7,19.6,7029_IR.jpg,2.8,6.4,5.3,,,,,
CATT1732,1732,,Crambidae,CA_CRA30,CA_CRA30,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00630,,10.87,9.81,,,,,,,1,0,7005_IR.jpg,19.2,19.5,19.3,7023_IR.jpg,40.5,43.2,42.1,,,,,
CATT1731,1731,,Pyralidae,CA_PYR39,CA_PYR39,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00590,0號針,10.31,10.31,,,,,,,0,1,6997_IR.jpg,19.2,19.3,19.3,7027_IR.jpg,-1,1.6,0.9,,,,,
CATT1730,1730,,Erebidae,CA_LIT63,CA_LIT30,modify,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01310,,14.45,11.85,,,,,,,1,0,6995_IR.jpg,19.3,19.4,19.3,7021_IR.jpg,39.6,41,40.2,,,,,
CATT1729,1729,,Erebidae,CA_ERE33,CA_ERE33,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.02830,,17.91,17.21,,,,,,,0,1,6989_IR.jpg,19.4,19.8,19.6,6999_IR.jpg,12.5,15.1,14.2,,,,,
CATT1728,1728,,Crambidae,CA_CRA45,CA_CRA45,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01630,秤重後黏合左觸角,14.24,12.69,,,,,,,1,0,6985_IR.jpg,19,19.1,19,7007_IR.jpg,38.5,39.9,38.9,,,,,
CATT1727,1727,,Crambidae,CA_CRA30,CA_CRA30,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.00630,,11.19,10.35,,,,,,,0,1,6983_IR.jpg,18.6,18.7,18.7,7001_IR.jpg,1.9,4.3,3.6,,,,,
CATT1726,1726,,Crambidae,CA_CRA02,CA_CRA03,modify,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01600,,14.68,14.66,,,,,,,1,0,6981_IR.jpg,18.5,18.7,18.5,6991_IR.jpg,38.9,41.1,39.9,,,,,
CATT1725,1725,,Erebidae,CA_HER21,CA_HER22,modify,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01130,,12.82,11.55,,,,,,,0,1,6979_IR.jpg,18.6,18.9,18.7,6987_IR.jpg,3.7,5,4.4,,,,,
CATT1724,1724,,Crambidae,CA_CRA15,CA_CRA120,modify,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.01180,右翅破損量左翅:14.50,,13.63,,,,,,,1,0,6977_IR.jpg,18.6,18.7,18.6,6993_IR.jpg,37.7,41.3,38.6,,,,,
CATT1723,1723,,Geometridae,CA_CEO-Ourapteryx,,,,m,,1372,9-VIII-2019,"4.600844, 101.345647","N4°36'03.04"" E101°20'44.33""",,,0.03650,,28.03,18.23,,,,,,,0,1,6975_IR.jpg,18.2,18.4,18.3,7003_IR.jpg,2,4.4,3.3,,,,,
CATT1722,1722,,Erebidae,CA_ERE37,CA_ERE37,,RSimage,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.04450,,20.22,19.24,,,,,,,0,1,6961_IR.jpg,23.2,23.6,23.3,6971_IR.jpg,8.9,11.6,10.6,,,,,
CATT1721,1721,,Geometridae,CA_GEO-Scopula-6,,,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00200,0號針,7.04,6.28,,,,,,,1,0,6959_IR.jpg,23.3,23.6,23.4,6969_IR.jpg,45.2,46,45.6,,,,,
CATT1720,1720,,Erebidae,CA_HER15,CA_HER15,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00920,,11.03,9.69,,,,,,,0,1,6939_IR.jpg,22.7,22.9,22.8,6973_IR.jpg,4.4,6.5,6.1,,,,,
CATT1719,1719,,Erebidae,CA_ERE73,CA_ERE13,,重新確認,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.07460,,24.66,19.15,,,,,,,1,0,6937_IR.jpg,22.6,23.6,23.1,6965_IR.jpg,40.5,44,42.4,,,,,
CATT1718,1718,,Drepanidae,CA_DRE05,CA_DRE05,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.41020,,14.71,8.71,,,,,,,1,0,6935_IR.jpg,23.5,23.7,23.6,6967_IR.jpg,42.6,44.9,43.4,,,,,
CATT1717,1717,,Geometridae,CA_GEO128,CA_GEO128,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01580,,18.2,12.63,,,,,,,1,0,6933_IR.jpg,23.7,24.3,24.1,6953_IR.jpg,42.5,43.4,42.9,,,,,
CATT1716,1716,,Geometridae,CA_GEO11,CA_GEO11,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.02340,,27.48,18.85,,,,,,,0,1,6931_IR.jpg,23,23.6,23.3,6963_IR.jpg,1.6,4.7,3.7,,,,,
CATT1715,1715,,Crambidae,CA_CRA131,CA_CRA131,,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01140,,12.95,10.72,,,,,,,1,0,6929_IR.jpg,22.2,22.5,22.4,6951_IR.jpg,37.9,40.7,39.8,,,,,
CATT1714,1714,,Geometridae,CA_GEO87_2,CA_GEO85,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.02150,,18.1,13.49,,,,,,,0,1,6925_IR.jpg,23.8,24.2,23.9,6957_IR.jpg,3,5.4,4.8,,,,,
CATT1713,1713,,Drepanidae,CA_DRE05,CA_DRE05,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.41000,,15.12,8.02,,,,,,,0,1,6915_IR.jpg,21.7,21.8,21.8,6947_IR.jpg,1.8,3.5,2.8,,,,,
CATT1712,1712,,Geometridae,CA_GEO134-2,CA_GEO134,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01740,,21.2,14.79,,,,,,,0,1,6913_IR.jpg,22.8,23.2,22.9,6949_IR.jpg,1.8,3.4,2.8,,,,,
CATT1711,1711,,Erebidae,CA_LYM07,CA_LYM07,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00600,,10.15,7.11,,,,,,,0,1,6907_IR.jpg,21.8,22,21.9,6921_IR.jpg,0.9,3,2.1,,,,,
CATT1710,1710,,Geometridae,CA_GEO71,CA_GEO71,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.03120,,26.16,18.74,,,,,,,1,0,6905_IR.jpg,21.6,22,21.8,6945_IR.jpg,41.8,44.3,43.1,,,,,
CATT1709,1709,,Geometridae,CA_GEO136,CA_GEO136,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01640,,19.54,13.18,,,,,,,1,0,6903_IR.jpg,22.3,22.5,22.4,6943_IR.jpg,42.9,44.6,44.2,,,,,
CATT1708,1708,,Crambidae,CA_CRA88,CA_CRA108,modify; CRA108空值,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00700,,12.05,11.96,,,,,,,0,1,6901_IR.jpg,21.7,22,21.8,6941_IR.jpg,3,4.7,4,,,,,
CATT1707,1707,,Erebidae,CA_HER15,CA_HER15,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00800,,11.31,9.75,,,,,,,1,0,6899_IR.jpg,22.1,22.9,22.5,6917_IR.jpg,36.9,40.7,38.7,,,,,
CATT1706,1706,,Geometridae,CA_GEO28,CA_GEO28,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01690,,16.7,12.15,,,,,,,1,0,6897_IR.jpg,21.9,22.1,22,6923_IR.jpg,40.7,42.8,41.9,,,,,
CATT1705,1705,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01030,,14.15,11.34,,,,,,,0,1,6895_IR.jpg,24.1,24.6,24.3,6927_IR.jpg,2.2,3.7,2.9,,,,,
CATT1704,1704,,Erebidae,CA_HER15,CA_HER15,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01150,,11.54,10.06,,,,,,,1,0,6893_IR.jpg,24.2,24.5,24.4,6909_IR.jpg,38.5,44.2,42.8,,,,,
CATT1703,1703,,Erebidae,CA_LIT31,,modify,,,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00390,,8.66,7.18,,,,,,,0,1,6881_IR.jpg,22.3,22.6,22.5,6919_IR.jpg,1.5,4.3,3,,,,,
CATT1702,1702,,Geometridae,CA_GEO53,CA_GEO53,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00650,,13.88,13.5,,,,,,,1,0,6871_IR.jpg,22.1,22.4,22.2,6887_IR.jpg,41.1,43.1,42.2,,,,,
CATT1701,1701,,Erebidae,CA_ERE35,CA_ERE35,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.06710,,23.98,18.64,,,,,,,0,1,6869_IR.jpg,22.3,22.6,22.4,6911_IR.jpg,13.3,16.5,14.9,,,,,
CATT1700,1700,,Erebidae,CA_HER14-2,CA_HER14,modify,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00790,右翅破損量左翅:11.1,,11.12,,,,,,,0,1,6867_IR.jpg,21.4,21.7,21.6,6883_IR.jpg,2.5,5,3.9,,,,,
CATT1699,1699,,Erebidae,CA_ERE12,CA_ERE12,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.05700,,21,19.94,,,,,,,0,1,6865_IR.jpg,23.6,24,23.8,6891_IR.jpg,6.5,10.6,9.3,,,,,
CATT1698,1698,,Erebidae,CA_LIT08,CA_LIT08,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00500,,10.15,7.28,,,,,,,1,0,6859_IR.jpg,23.6,24,23.8,6885_IR.jpg,41.1,44,42.8,,,,,
CATT1697,1697,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00950,,14.13,10.75,,,,,,,0,1,6855_IR.jpg,22.4,22.7,22.6,6873_IR.jpg,2.2,6.7,5,,,,,
CATT1696,1696,,Erebidae,CA_HER25,CA_HER25,,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00270,0號針，右翅破損量左翅:9.01,,6.82,,,,,,,1,0,6851_IR.jpg,22.7,23,22.8,6879_IR.jpg,46.1,47.4,46.7,,,,,
CATT1695,1695,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00680,,13.01,9.07,,,,,,,1,0,6847_IR.jpg,23.3,23.5,23.4,6877_IR.jpg,44.6,46.4,45.7,,,,,
CATT1694,1694,,Crambidae,CA_CRA39,CA_CRA39,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00840,,12.68,12.01,,,,,,,1,0,6841_IR.jpg,22.9,23.3,23.2,6861_IR.jpg,43.1,44,43.5,,,,,
CATT1693,1693,,Crambidae,CA_CRA39,CA_CRA39,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00790,,11.77,11.22,,,,,,,0,1,6839_IR.jpg,22,22.3,22.1,6853_IR.jpg,3.8,5.5,5,,,,,
CATT1692,1692,,Crambidae,CA_CRA39,CA_CRA39,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00800,,11.76,10.94,,,,,,,1,0,6837_IR.jpg,22.2,22.4,22.3,6863_IR.jpg,42.6,44,43.4,,,,,
CATT1691,1691,,Geometridae,CA_GEO80-2,CA_GEO80,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01580,,19.16,14.2,,,,,,,0,1,6831_IR.jpg,21.4,21.7,21.6,6857_IR.jpg,-0.4,2.2,1.6,,,,,
CATT1690,1690,,Erebidae,CA_LIT31,CA_LIT30,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00460,,8.44,6.5,,,,,,,1,0,6827_IR.jpg,23.4,23.5,23.5,6875_IR.jpg,44.6,46,45,,,,,
CATT1689,1689,,Crambidae,CA_CRA23,CA_CRA23,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00540,,11.09,11.43,,,,,,,0,1,6817_IR.jpg,22,22.3,22.2,6845_IR.jpg,4.7,6.6,5.9,,,,,
CATT1688,1688,,Geometridae,CA_GEO134-2,CA_GEO134,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.02920,上標時發現觸角斷，已黏合,22.4,17.27,,,,,,,1,0,6815_IR.jpg,23,23.4,23.2,6849_IR.jpg,41.5,43.5,42.7,,,,,
CATT1687,1687,,Geometridae,CA_GEO84,CA_GEO84,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01360,,17.03,12.69,,,,,,,0,1,6813_IR.jpg,22.3,22.4,22.4,6829_IR.jpg,1.2,2.1,1.7,,,,,
CATT1686,1686,,Pyralidae,CA_PYR21,CA_PYR24,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01620,,11.09,11.05,,,,,,,1,0,6811_IR.jpg,22.3,22.5,22.5,6843_IR.jpg,41.1,42.5,41.7,,,,,
CATT1685,1685,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00440,,14.51,10,,,,,,,0,1,6809_IR.jpg,22,22.3,22.1,6823_IR.jpg,2.2,3.8,3.1,,,,,
CATT1684,1684,,Geometridae,CA_GEO79,CA_GEO79,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01240,,19.49,12.21,,,,,,,0,1,6807_IR.jpg,21,21.4,21.2,6825_IR.jpg,2.4,4.7,3.7,,,,,
CATT1683,1683,,Geometridae,CA_GEO01,CA_GEO01,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.02160,,18.86,15.34,,,,,,,1,0,6805_IR.jpg,21.3,21.7,21.6,6835_IR.jpg,42,43.6,42.9,,,,,
CATT1682,1682,,Erebidae,CA_LIT31,CA_LIT30,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00470,,8.75,6.69,,,,,,,1,0,6803_IR.jpg,21.2,21.6,21.5,6819_IR.jpg,40.5,41.6,40.8,,,,,
CATT1681,1681,,Erebidae,CA_LIT85,CA_LIT09,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00890,,14.31,11.15,,,,,,,0,1,6791_IR.jpg,21.9,22.3,22.2,6799_IR.jpg,1.8,4.1,3.4,,,,,
CATT1680,1680,,Geometridae,CA_GEO136-2,CA_GEO133,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01360,,19.77,14.38,,,,,,,1,0,6789_IR.jpg,22.6,23,22.8,6801_IR.jpg,41.9,44.9,44.3,,,,,
CATT1679,1679,,Thyrididae,CA_MIC02,CA_MIC02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00090,微針不展翅,6.84,6.19,,,,,,,0,1,6785_IR.jpg,23,23.4,23.1,6795_IR.jpg,-1.8,-1.3,-1.6,,,,,
CATT1678,1678,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00770,,13.78,10.96,,,,,,,1,0,6783_IR.jpg,22.2,22.4,22.3,6797_IR.jpg,40.7,44.1,43,,,,,
CATT1677,1677,,Erebidae,CA_HER10,CA_HER06,,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00380,,11.61,8.48,,,,,,,0,1,6775_IR.jpg,22.9,23.2,23,6793_IR.jpg,2.8,5.4,4.4,,,,,
CATT1676,1676,,Crambidae,CA_CRA08,CA_CRA08,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00740,,11.95,11.88,,,,,,,1,0,6765_IR.jpg,23.8,24,23.9,6787_IR.jpg,42.9,43.9,43.2,,,,,
CATT1675,1675,,Erebidae,CA_LIT08,CA_LIT08,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00550,不含針直接秤蛾,11.73,8.46,,,,,,,0,1,6763_IR.jpg,24,24.6,24.4,6781_IR.jpg,3.3,5.5,4.5,,,,,
CATT1674,1674,,Erebidae,CA_LIT70,CA_LIT70,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00190,0號針,7.26,5.66,,,,,,,0,1,6755_IR.jpg,23.7,24,23.9,6773_IR.jpg,2.7,4.4,3,,,,,
CATT1673,1673,,Geometridae,CA_GEO02,CA_GEO02,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00650,,13.23,10.49,,,,,,,1,0,6747_IR.jpg,22.2,22.5,22.4,6777_IR.jpg,44.8,45.9,45.4,,,,,
CATT1672,1672,,Crambidae,CA_CRA44,CA_CRA44,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00450,,10.53,9.5,,,,,,,1,0,6741_IR.jpg,22.9,23.1,23,6759_IR.jpg,41.7,42.9,42.3,,,,,
CATT1671,1671,,Erebidae,CA_LIT33,CA_LIT25,modify,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00080,秤重後黏合左前翅，右翅破損量左翅:9.21,,5.7,,,,,,,1,0,6739_IR.jpg,22.3,22.5,22.5,6757_IR.jpg,41.8,43.3,42.4,,,,,
CATT1670,1670,,Erebidae,CA_LIT31,CA_LIT30,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00330,,8.6,7.5,,,,,,,1,0,6737_IR.jpg,23.3,23.6,23.4,6769_IR.jpg,43.6,45.6,44.4,,,,,
CATT1669,1669,,Uraniidae,CA_URA04,CA_URA04,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00490,,12.16,7.55,,,,,,,0,1,6733_IR.jpg,23.1,23.3,23.2,6749_IR.jpg,0.8,4.1,2.4,,,,,
CATT1668,1668,,Pyralidae,CA_PYR11-3,CA_PYR11,modify,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00660,,11.48,10.16,,,,,,,1,0,6731_IR.jpg,23.1,23.3,23.2,6767_IR.jpg,42.8,44,43.7,,,,,
CATT1667,1667,,Crambidae,CA_CRA22,CA_CRA22,,,f,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00320,0號針,9.89,10,,,,,,,1,0,6723_IR.jpg,22.8,22.9,22.8,6745_IR.jpg,42.7,44,43.1,,,,,
CATT1666,1666,,Geometridae,CA_GEO53,CA_GEO53,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00720,,14.95,12.97,,,,,,,0,1,6715_IR.jpg,21.9,22.2,22,6753_IR.jpg,0.1,1.6,0.8,,,,,
CATT1665,1665,,Erebidae,CA_HYP01,CA_HYP01,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.01260,,17.56,14.9,,,,,,,0,1,6713_IR.jpg,22.2,22.5,22.4,6727_IR.jpg,6.9,9,8,,,,,
CATT1664,1664,,Erebidae,CA_LIT46,CA_LIT46,,RSimage; 重新鑑定,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00670,,11.38,8.43,,,,,,,1,0,6711_IR.jpg,22,22.2,22.1,6735_IR.jpg,42,43.8,42.9,,,,,
CATT1663,1663,,Crambidae,CA_CRA44,CA_CRA44,,,m,,903,8-VIII-2019,"4.562097, 101.331011","N4°33'43.55"" E101°19'51.64""",,,0.00400,,10.55,10.44,,,,,,,0,1,6709_IR.jpg,23,23.5,23.3,6751_IR.jpg,1.9,4,3,,,,,
